vocab,evaluation,difflib
jello,NOT FOUND,"['nello', 'jelly', 'hello']"
jello,NOT FOUND,"['nello', 'jelly', 'hello']"
jelly,FOUND,jelly
jellybeans,NOT FOUND,"['jellyband', 'pelleas', 'jellies']"
jerkchicken,NOT FOUND,"['chicken', 'chickens', 'jerkin']"
jerky,FOUND,jerky
jicama,NOT FOUND,"['jamak', 'jocapa', 'jim']"
jonessoda,NOT FOUND,"[""jones's"", 'jones', 'jonson']"
juice,FOUND,juice
kabob,NOT FOUND,"['nabob', 'bob', 'absorb']"
kale,NOT FOUND,"['ale', 'yale', 'vale']"
karikara,NOT FOUND,"['varvara', 'kara', 'jaikark']"
kebab,NOT FOUND,"['kebby', 'ebb', 'bab']"
ketchup,FOUND,ketchup
keylimepie,NOT FOUND,"['kelpie', 'timepiece', 'eliminate']"
kidneybean,NOT FOUND,"['kidney', 'kidneys', 'sidney']"
kimchi,NOT FOUND,"['kihachi', 'kinch', 'chokichi']"
kiwi,NOT FOUND,"['kwai', 'wi', 'ki']"
kohlrabi,NOT FOUND,"['rabid', 'rabbi', 'orbit']"
krackel,NOT FOUND,"['racket', 'racked', 'rachel']"
kumquat,NOT FOUND,"['squat', 'quart', 'murat']"
lakefish,NOT FOUND,"['lakes', 'blackish', 'rakish']"
lamb,FOUND,lamb
lambchop,NOT FOUND,"['lamp', 'lambole', 'lambeth']"
lambchops,NOT FOUND,"['lamps', 'lambs', 'chops']"
lasagna,NOT FOUND,"['laana', 'laysan', 'larsan']"
latkes,NOT FOUND,"['lakes', 'slates', 'plates']"
latte,NOT FOUND,"['platte', 'latter', 'late']"
leaflettuce,NOT FOUND,"['lettuce', 'leaflets', 'lafayette']"
leek,NOT FOUND,"['sleek', 'lee', 'week']"
lemon,FOUND,lemon
lemonsquare,NOT FOUND,"['lemonade', 'square', 'mosque']"
lemonade,FOUND,lemonade
lentil,NOT FOUND,"['lentils', 'entail', 'plentiful']"
lentils,FOUND,lentils
lettuce,FOUND,lettuce
lettucewrap,NOT FOUND,"['lettuce', 'letter', 'letters']"
licorice,NOT FOUND,"['cornice', 'cornices', 'icicle']"
limabean,NOT FOUND,"['laban', 'elizabethan', 'limbed']"
limabeans,NOT FOUND,"['means', 'limes', 'limbs']"
limburger,FOUND,limburger
lime,FOUND,lime
lingonberry,NOT FOUND,"['linger', 'lingers', 'library']"
linguine,NOT FOUND,"['sanguine', 'flinging', 'clinging']"
liver,FOUND,liver
lomein,NOT FOUND,"['omen', 'mein', 'loin']"
lobster,FOUND,lobster
lobsterbisque,NOT FOUND,"['lobsters', 'lobster', 'obstetrics']"
lobsterstuffedwithtaco,NOT FOUND,[]
lollipop,NOT FOUND,"['loop', 'lolling', 'folliot']"
luckycharm,NOT FOUND,"['lukewarm', 'lucky', 'lucca']"
lumpia,NOT FOUND,"['lump', 'olympia', 'plump']"
lunchables,NOT FOUND,"['lunches', 'uncles', 'unable']"
lychee,NOT FOUND,"['chee', 'lynch', 'cheer']"
macandcheese,NOT FOUND,"['manchester', 'vacancies', 'comanches']"
macadamia,NOT FOUND,"['arcadia', 'academical', 'madam']"
macadamianut,NOT FOUND,"['adamant', 'arcadian', 'madman']"
macaron,NOT FOUND,"['macaroni', 'aaron', 'matron']"
macaroni,FOUND,macaroni
macaroniandcheese,NOT FOUND,"['carolinians', 'acarnanians', 'macaroni']"
macaronicheese,NOT FOUND,"['macaroni', 'marches', 'manicheans']"
macaronisalad,NOT FOUND,"['macaroni', 'matrimonial', 'carnival']"
mackerel,FOUND,mackerel
mahimahi,NOT FOUND,"['mahina', 'ahimsa', 'mimi']"
mandarin,NOT FOUND,"['mazarin', 'madrina', 'fanarin']"
mango,NOT FOUND,"['mungo', 'manor', 'manon']"
manicotti,NOT FOUND,"['marriott', 'fannicot', 'barnicot']"
mapotofu,NOT FOUND,"['teaspoonful', 'vaporous', 'spoonful']"
marbledryebread,NOT FOUND,"['murdered', 'martyred']"
marmalade,FOUND,marmalade
marshmallow,NOT FOUND,"['marshall', 'shallow', 'marshal']"
mashedpotato,NOT FOUND,"['potato', 'mashed', 'meditation']"
mashedpotatoes,NOT FOUND,"['potatoes', 'meditates', 'mottoes']"
matzo,NOT FOUND,"['mat', 'tomato', 'matron']"
matzoball,NOT FOUND,"['atoll', 'atolls', 'rationally']"
matzoballsoup,NOT FOUND,['atolls']
mayonnaise,FOUND,mayonnaise
meat,FOUND,meat
meatbun,NOT FOUND,"['meat', 'mean', 'maun']"
meatloaf,NOT FOUND,"['smeaton', 'mercato', 'meat']"
meatball,NOT FOUND,"['metal', 'metallic', 'mentally']"
meatballhoagie,NOT FOUND,"['metallic', 'catalogue', 'analogies']"
meatballsandwich,NOT FOUND,"['sandwich', 'metallic', 'sandwiches']"
meatballs,NOT FOUND,"['metals', 'metal', 'meats']"
meatloaf,NOT FOUND,"['smeaton', 'mercato', 'meat']"
melon,FOUND,melon
menudo,NOT FOUND,"['menu', 'mend', 'mendoza']"
mexican,FOUND,mexican
mexicanfood,NOT FOUND,"['mexican', 'mexicans', 'mexico']"
milanesa,NOT FOUND,"['milanese', 'mines', 'miles']"
milanocookie,NOT FOUND,"['cookie', 'melancolia', 'locomotive']"
milk,FOUND,milk
milkshake,NOT FOUND,"['mistake', 'shake', 'mistakes']"
millefeuille,NOT FOUND,"['millville', 'illegible', 'skillfully']"
millet,FOUND,millet
minestrone,NOT FOUND,"['milestone', 'minstrel', 'inertron']"
mint,FOUND,mint
miso,NOT FOUND,"['mis', 'milsom', 'muso']"
misosoup,NOT FOUND,"['missouri', 'missus', 'soup']"
mocha,FOUND,mocha
mochi,NOT FOUND,"['mocha', 'moloch', 'cochin']"
monkey,FOUND,monkey
monterey,FOUND,monterey
mooncake,NOT FOUND,"['mooney', 'monkey', 'monica']"
mozzarella,NOT FOUND,"['marcella', 'morrell', 'marvell']"
mozzarellastick,NOT FOUND,"[""marcella's"", 'elastic', 'monastic']"
mozzarellasticks,NOT FOUND,"[""marcella's"", 'elastic']"
mrgoodbar,NOT FOUND,"['robarts', 'goodman', 'goodbye']"
muffin,FOUND,muffin
muffuletta,NOT FOUND,"['muffler', 'muffled', 'ruffle']"
mulberries,NOT FOUND,"['berries', 'mulberry', 'merriest']"
mushroom,FOUND,mushroom
mushrooms,FOUND,mushrooms
muskmelon,NOT FOUND,"['melon', 'skeleton', 'skeletons']"
mussel,FOUND,mussel
mustard,FOUND,mustard
mutton,FOUND,mutton
naan,NOT FOUND,"['nan', 'nathan', 'canaan']"
nacho,NOT FOUND,"['ach', 'tatcho', 'snatch']"
nachos,NOT FOUND,"['gauchos', 'anchors', 'naxos']"
napoleon,FOUND,napoleon
nectarine,NOT FOUND,"['nectar', 'sectaries', 'catharine']"
newyorkstrip,NOT FOUND,"['worship', 'nostril', 'newport']"
noodle,FOUND,noodle
noodles,FOUND,noodles
northernbean,NOT FOUND,"['northern', 'norther', 'northumberland']"
nuggets,FOUND,nuggets
nut,FOUND,nut
nutthins,NOT FOUND,"['nothings', 'cuttings', 'thinks']"
nutella,NOT FOUND,"['nutshell', 'stella', 'luella']"
nutrients,NOT FOUND,"['nutriment', 'entries', 'sentiments']"
nuts,FOUND,nuts
oatmeal,FOUND,oatmeal
oats,FOUND,oats
octopus,NOT FOUND,"['corpus', 'tops', 'opus']"
oil,FOUND,oil
okra,NOT FOUND,"['okar', 'nora', 'lora']"
olem,NOT FOUND,"['ole', 'solemn', 'moslem']"
olive,FOUND,olive
oliveoil,NOT FOUND,"['olive', 'olivia', 'olives']"
olives,FOUND,olives
omelet,FOUND,omelet
omelette,FOUND,omelette
onigiri,NOT FOUND,"['ongar', 'ogier', 'conciergerie']"
onion,FOUND,onion
onionring,NOT FOUND,"['motioning', 'honouring', 'confining']"
onionrings,NOT FOUND,"['moorings', 'onions', 'motioning']"
onions,FOUND,onions
orange,FOUND,orange
orangechicken,NOT FOUND,"['chicken', 'chickens', 'franchise']"
orangejuice,NOT FOUND,"['orange', 'prejudice', 'rejoice']"
orangepepper,NOT FOUND,"['ranger', 'pepper', 'orange']"
oregano,NOT FOUND,"['organ', 'regain', 'organs']"
oreo,NOT FOUND,"['ore', 'oregon', 'forego']"
oreocookies,NOT FOUND,"['rockies', 'cookies', 'cookie']"
orzo,NOT FOUND,"['lorenzo', 'horizon', 'ro']"
oxalis,NOT FOUND,"['oasis', 'goals', 'foals']"
oxtail,NOT FOUND,"['tail', 'trail', 'total']"
oyster,FOUND,oyster
padthai,NOT FOUND,"['path', 'pathway', 'plata']"
palakpaneer,NOT FOUND,"['salamander', 'pleasanter', 'planter']"
pancake,FOUND,pancake
pancakes,FOUND,pancakes
panini,NOT FOUND,"['pani', 'pain', 'panting']"
papaya,NOT FOUND,"['papacy', 'papa', 'papal']"
parmesan,FOUND,parmesan
parmesancheese,NOT FOUND,"['parmesan', 'preachers', 'reaches']"
parsley,FOUND,parsley
parsnip,NOT FOUND,"['parson', 'snip', 'pani']"
passionfruit,NOT FOUND,"['passion', 'passionate', 'passport']"
passionfruit,NOT FOUND,"['passion', 'passionate', 'passport']"
pasta,NOT FOUND,"['past', 'rasta', 'posta']"
pastasalad,NOT FOUND,"['staal', 'salad', 'pastoral']"
pastrami,NOT FOUND,"['upstream', 'pastrini', 'pastoral']"
pastry,FOUND,pastry
pate,FOUND,pate
pattymelt,NOT FOUND,"['payment', 'patty', 'payments']"
pea,FOUND,pea
peach,FOUND,peach
peanut,FOUND,peanut
peanutbutter,NOT FOUND,"['peanut', 'patter', 'nutter']"
peanutbutterandjellysandwiches,NOT FOUND,[]
peanutbuttercookie,NOT FOUND,[]
peanutbutterjelly,NOT FOUND,"['butterwell', 'butterfly']"
peanuts,FOUND,peanuts
pear,FOUND,pear
peas,FOUND,peas
pecan,NOT FOUND,"['pelican', 'pemmican', 'pen']"
pecans,NOT FOUND,"['pens', 'peas', 'pans']"
pekingduck,NOT FOUND,"['peking', 'pecking', 'speaking']"
penne,NOT FOUND,"['penned', 'penn', 'pennies']"
pepper,FOUND,pepper
pepperoni,NOT FOUND,"['pepper', 'peppers', 'peppermint']"
peppers,FOUND,peppers
pesto,NOT FOUND,"['presto', 'pest', 'preston']"
pheasant,FOUND,pheasant
pho,NOT FOUND,"['po', 'ho', 'phone']"
picantesauce,NOT FOUND,"['picturesque', 'incandescent', 'picturesquely']"
pickle,FOUND,pickle
pickledginger,NOT FOUND,"['pledging', 'picketing', 'pickering']"
pie,FOUND,pie
pierogi,NOT FOUND,"['piero', 'pietro', 'pier']"
pierogies,NOT FOUND,"['prodigies', 'prerogatives', 'peonies']"
pigfeet,NOT FOUND,"['feet', 'puget', 'piety']"
pill,FOUND,pill
pinenuts,NOT FOUND,"['peanuts', 'intents', 'pinus']"
pineapple,FOUND,pineapple
pintobean,NOT FOUND,"['intolerant', 'pinto', 'nobleman']"
pintobeans,NOT FOUND,"['pinions', 'phineas', 'intents']"
pistachio,NOT FOUND,"['mustachios', 'pitch', 'pisah']"
pistachios,NOT FOUND,"['mustachios', 'distractions', 'pitches']"
pita,NOT FOUND,"['pit', 'pitman', 'spit']"
pitabread,NOT FOUND,"['tread', 'pared', 'bread']"
pizza,NOT FOUND,"['piazza', 'pizarro', 'pisa']"
pizzaroll,NOT FOUND,"['pizarro', 'piazza', 'patrol']"
plantains,NOT FOUND,"['plantations', 'plantation', 'planting']"
plum,FOUND,plum
polenta,NOT FOUND,"['potent', 'pollen', 'polina']"
polishsausage,NOT FOUND,"['sausage', 'sausages', 'polishes']"
pomegranate,FOUND,pomegranate
poptart,NOT FOUND,"['ptarth', 'powart', 'potato']"
popcorn,NOT FOUND,"['poor', 'corn', 'proctor']"
popcornshrimp,NOT FOUND,"['courtship', 'conscript', 'shrimp']"
popsicle,NOT FOUND,"['possible', 'sickle', 'posies']"
pork,FOUND,pork
porkchops,NOT FOUND,"['workshops', 'porthos', 'porches']"
porkloin,NOT FOUND,"['workin', 'poring', 'poplin']"
porkroast,NOT FOUND,"['roast', 'porous', 'parrot']"
porkshoulder,NOT FOUND,"['shoulder', 'shoulders', 'prouder']"
porkchop,NOT FOUND,"['porch', 'workshop', 'poncho']"
portabella,NOT FOUND,"['portable', 'arabella', 'portal']"
portabellamushroom,NOT FOUND,['mushroom']
porterhousesteak,NOT FOUND,"['storehouses', 'trousseau', 'portieres']"
potpie,NOT FOUND,"['pope', 'poppies', 'porte']"
potroast,NOT FOUND,"['toast', 'roast', 'portrait']"
potato,FOUND,potato
potatochip,NOT FOUND,"['potato', 'potatoes', 'poaching']"
potatochips,NOT FOUND,"['potatoes', 'potato', 'patches']"
potatosalad,NOT FOUND,"['potatoes', 'potato', 'spatola']"
potatoes,FOUND,potatoes
potatoessoup,NOT FOUND,"['potatoes', 'potato', 'potassium']"
potpie,NOT FOUND,"['pope', 'poppies', 'porte']"
potstickers,NOT FOUND,"['tickers', 'posters', ""potter's""]"
pottedmeat,NOT FOUND,"['potted', 'spotted', 'plotted']"
poultry,FOUND,poultry
poutine,NOT FOUND,"['routine', 'pouting', 'outline']"
pozole,NOT FOUND,"['poodle', 'pool', 'pole']"
pretzel,NOT FOUND,"['gretel', 'retz', 'reel']"
pretzels,NOT FOUND,"['reels', 'pretexts', 'pretense']"
primerib,NOT FOUND,"['primer', 'prime', 'priori']"
pringles,NOT FOUND,"['ringlets', 'triangles', 'springs']"
prosciutto,NOT FOUND,"['prosecutor', 'prosecution', 'prosecute']"
proteins,NOT FOUND,"['proteus', 'protest', 'potions']"
prune,FOUND,prune
pudding,FOUND,pudding
pulledpork,NOT FOUND,"['pulled', 'uller', 'splendor']"
pumpkin,FOUND,pumpkin
pumpkinpie,NOT FOUND,"['pumpkin', 'pumpkins', 'pumpkinhead']"
pumpkinseed,NOT FOUND,"['pumpkins', 'pumpkinhead', 'pumpkin']"
pumpkinseeds,NOT FOUND,"['pumpkins', 'pumpkinhead', 'pumpkin']"
quail,FOUND,quail
quesadilla,NOT FOUND,"['quadrille', 'quillan', 'quill']"
queso,NOT FOUND,"['quest', 'question', 'quo']"
quiche,NOT FOUND,"['quince', 'guiche', 'quincey']"
quinoa,NOT FOUND,"['quinton', 'quinnox', 'equinox']"
rabbit,FOUND,rabbit
radicchio,NOT FOUND,"['radio', 'tradition', 'radiation']"
radish,NOT FOUND,"['radishes', 'rakish', 'radius']"
raisin,FOUND,raisin
raisinbread,NOT FOUND,"['sinbad', 'raisin', 'raised']"
raisins,FOUND,raisins
raison,NOT FOUND,"['risdon', 'reason', 'ration']"
ramen,NOT FOUND,"['amen', 'raiment', 'raven']"
ramennoodles,NOT FOUND,"['noodles', 'noodle', 'amends']"
ranchdressing,NOT FOUND,"['undressing', 'addressing', 'dressing']"
rapini,NOT FOUND,"['rapkin', 'rapine', 'rain']"
raspberries,FOUND,raspberries
raspberry,FOUND,raspberry
raspeberry,NOT FOUND,"['raspberry', 'raspberries', 'sperry']"
ratatouille,NOT FOUND,"['rattle', 'rattles', 'rattler']"
ravioli,NOT FOUND,"['violin', 'rail', 'violins']"
redcabbage,NOT FOUND,"['cabbage', 'cabbages', 'wreckage']"
redleaflettuce,NOT FOUND,"['lettuce', 'leaflets', 'relegated']"
redonion,NOT FOUND,"['reunion', 'ronin', 'onion']"
redpepper,NOT FOUND,"['pepper', 'peppers', 'creeper']"
redpeppers,NOT FOUND,"['peppers', 'creepers', 'pepper']"
redpotatoes,NOT FOUND,"['potatoes', 'rotates', 'reputations']"
reese,NOT FOUND,"['reverse', 'release', 'trees']"
reeses,NOT FOUND,"['reverses', 'releases', 'recesses']"
reesescups,NOT FOUND,"['treeless', 'reverses', 'rescuers']"
refriedbean,NOT FOUND,"['frieda', 'refrained', 'refrain']"
relish,FOUND,relish
rib,FOUND,rib
ribeye,NOT FOUND,"['bribery', 'tribe', 'riley']"
riblets,NOT FOUND,"['giblets', 'rivulets', 'ringlets']"
ribs,FOUND,ribs
rice,FOUND,rice
ricecake,NOT FOUND,"['rickie', 'reticence', 'wrecked']"
rigatoni,NOT FOUND,"['irrigation', 'brighton', 'resignation']"
risotto,NOT FOUND,"['grotto', 'giotto', 'cristo']"
ritzcracker,NOT FOUND,"['tracker', 'cracker', 'nutcracker']"
roast,FOUND,roast
roastbeef,NOT FOUND,"['roasted', 'roast', 'roadstead']"
roastedchicken,NOT FOUND,"['thicken', 'rostopchin', 'roasted']"
roll,FOUND,roll
romaine,NOT FOUND,"['romayne', 'romarin', 'romance']"
romainelettuce,NOT FOUND,"['omelette', 'romance', 'prominence']"
rooster,FOUND,rooster
roots,FOUND,roots
rosemary,FOUND,rosemary
rotisseriechicken,NOT FOUND,[]
russetpotatoes,NOT FOUND,"['potatoes', 'rotates', 'reputations']"
rutabaga,NOT FOUND,"['tabatinga', 'gruagach']"
ryebread,NOT FOUND,"['bread', 'retreated', 'redbreast']"
ryebread,NOT FOUND,"['bread', 'retreated', 'redbreast']"
sage,FOUND,sage
salad,FOUND,salad
saladdressing,NOT FOUND,"['addressing', 'dressing', 'saddening']"
salami,NOT FOUND,"['salamis', 'salam', 'slam']"
salmon,FOUND,salmon
salmonpoke,NOT FOUND,"['salmon', 'salmons', 'spoke']"
salsa,NOT FOUND,"['sala', 'seals', 'scala']"
salt,FOUND,salt
samosa,NOT FOUND,"['amos', 'samovar', 'salmons']"
sandwich,FOUND,sandwich
sardine,FOUND,sardine
sardines,FOUND,sardines
sashimi,NOT FOUND,"['sahim', 'sash', 'asim']"
sauce,FOUND,sauce
sauerkraut,NOT FOUND,"['serrated', 'saturate', 'sarka']"
sausage,FOUND,sausage
scallions,NOT FOUND,"['stallions', 'scullions', 'stallion']"
scallop,NOT FOUND,"['scalloped', 'scalp', 'scollops']"
scrambledegg,NOT FOUND,"['scrambled', 'scramble', 'rambled']"
scrambledeggs,NOT FOUND,"['scrambled', 'scramble', 'rambles']"
seabass,NOT FOUND,"['seas', 'sass', 'saba']"
seafood,NOT FOUND,"['seafloor', 'food', 'stood']"
seaweed,FOUND,seaweed
seaweedsalad,NOT FOUND,"['seaweeds', 'seaweed', 'seaward']"
seeds,FOUND,seeds
seitan,NOT FOUND,"['stan', 'sita', 'sextant']"
sesamechicken,NOT FOUND,"['chicken', 'chickens', 'searching']"
sesameseeds,NOT FOUND,"['seaweeds', 'sesame', 'seamed']"
shallot,NOT FOUND,"['shallow', 'shalt', 'shall']"
shark,FOUND,shark
shawarma,NOT FOUND,"['swarm', 'peshawar', 'swarms']"
shepherdspie,NOT FOUND,"['shepherds', ""shepherd's"", 'shepherd']"
sherbet,FOUND,sherbet
shitakemushroom,NOT FOUND,"['mushroom', 'stateroom', 'mushrooms']"
shrimp,FOUND,shrimp
shrimpfriedrice,NOT FOUND,"['simplified', 'simplice', 'frederic']"
shrimpscampi,NOT FOUND,"['shrimps', 'shrimp', 'shipping']"
sirloin,NOT FOUND,"['swirling', 'stirling', 'sailin']"
sloppyjoe,NOT FOUND,"['sloppy', 'slope', 'slopes']"
smoothie,NOT FOUND,"['smoother', 'smoothed', 'soothe']"
smores,NOT FOUND,"['sores', 'stores', 'snores']"
snackcakes,NOT FOUND,"['snakes', ""snake's"", 'snatches']"
snails,FOUND,snails
snappeas,NOT FOUND,"['snapper', 'snapped', 'appease']"
snicker,NOT FOUND,"['nicer', 'wicker', 'ticker']"
snickers,NOT FOUND,"['vickers', 'tickers', 'suckers']"
soba,NOT FOUND,"['sob', 'sola', 'sofa']"
sod,FOUND,sod
soda,FOUND,soda
sopa,NOT FOUND,"['sop', 'sophia', 'stop']"
sorbet,NOT FOUND,"['sort', 'sore', 'sherbet']"
souffle,NOT FOUND,"['shuffle', 'scuffle', 'shuffled']"
soup,FOUND,soup
soupbeans,NOT FOUND,"['spans', 'soups', 'opens']"
sourcream,NOT FOUND,"['source', 'scream', 'sources']"
soursop,NOT FOUND,"['sous', 'sour', 'soup']"
soysauce,NOT FOUND,"['sauce', 'source', 'solace']"
soybeans,NOT FOUND,"['beans', 'yearns', 'oceans']"
soymilk,NOT FOUND,"['soil', 'silk', 'milk']"
spaghetti,NOT FOUND,"['paget', 'pathetic', 'sympathetic']"
spaghettiandmeatballs,NOT FOUND,[]
spam,NOT FOUND,"['spasm', 'sam', 'spasms']"
spareribs,NOT FOUND,"['spares', 'parris', 'parrish']"
specialk,NOT FOUND,"['special', 'especial', 'specialty']"
spice,FOUND,spice
spicychicken,NOT FOUND,"['chicken', 'chickens', 'sicken']"
spinach,FOUND,spinach
springrolls,NOT FOUND,"['springs', ""springer's"", 'springer']"
sprinkle,FOUND,sprinkle
sprouts,FOUND,sprouts
squash,FOUND,squash
squid,NOT FOUND,"['quid', 'squalid', 'squad']"
starfruit,NOT FOUND,"['starlit', 'strut', 'start']"
starburst,NOT FOUND,"['arbours', 'strut', 'start']"
starbursts,NOT FOUND,"['trusts', 'starts', 'bursts']"
starfruit,NOT FOUND,"['starlit', 'strut', 'start']"
steak,FOUND,steak
steamedvegetables,NOT FOUND,"['vegetables', 'vegetable', 'eatables']"
stew,FOUND,stew
stirfriedpork,NOT FOUND,"['stirred', 'testified', 'satisfied']"
stirfriedvegetables,NOT FOUND,"['vegetables', 'vegetable', 'irritable']"
stirfry,NOT FOUND,"['starry', 'stir', 'testify']"
stirfrychicken,NOT FOUND,"['stricken', 'thicken', 'chicken']"
strawberries,FOUND,strawberries
strawberry,FOUND,strawberry
strawberryjelly,NOT FOUND,"['strawberry', 'strawberries']"
strawberrysmoothie,NOT FOUND,"['strawberries', 'strawberry']"
stringcheese,NOT FOUND,"['ostriches', 'strings', 'trenches']"
stromboli,NOT FOUND,"['stool', 'symbolic', 'stamboul']"
strudel,NOT FOUND,"['truely', 'trudge', 'strode']"
stuffedcabbage,NOT FOUND,"['stuffed', 'cabbage', 'suffrage']"
stuffedflounder,NOT FOUND,"['flounder', 'floundered', 'stuffed']"
stuffedpeppers,NOT FOUND,"['sufferers', 'suppers', 'suffers']"
stuffing,FOUND,stuffing
sub,FOUND,sub
subsandwich,NOT FOUND,"['sandwich', 'sandwiches', 'substance']"
subway,FOUND,subway
subwaybread,NOT FOUND,"['swayed', 'subway', 'swarmed']"
succotash,NOT FOUND,"['scots', 'succours', 'scottish']"
sucker,FOUND,sucker
suckers,FOUND,suckers
sugar,FOUND,sugar
sugarcookie,NOT FOUND,"['cookie', 'cookies', 'uncooked']"
sugarfreesyrup,NOT FOUND,"['surrender', 'surrey', 'sugary']"
summersquash,NOT FOUND,"['summers', ""summer's"", 'summer']"
sunflowerseed,NOT FOUND,"['sunflowers', 'sunflower', 'flowered']"
sunflowerseeds,NOT FOUND,"['sunflowers', 'sunflower', 'flowerbeds']"
sushi,NOT FOUND,"['sushai', 'susie', 'slush']"
sweetandsourpork,NOT FOUND,[]
sweetpotato,NOT FOUND,"['potato', 'sweetmeat', 'sweetwater']"
sweetpotatopie,NOT FOUND,"['sweetwater', 'potatoes', 'sweetmeat']"
sweetpotatoes,NOT FOUND,"['potatoes', 'sweetwater', 'sweetmeats']"
swisscheese,NOT FOUND,"['switches', 'wishes', 'cheese']"
swordfish,NOT FOUND,"['swords', 'wolfish', 'swedish']"
syrup,FOUND,syrup
tbone,NOT FOUND,"['tone', 'bone', 'towne']"
taco,NOT FOUND,"['tao', 'tatcho', 'tact']"
tacobell,NOT FOUND,"['toll', 'tell', 'tall']"
tacosalad,NOT FOUND,"['salad', 'oswald', 'translated']"
tahini,NOT FOUND,"['tahiti', 'thin', 'tain']"
tamale,NOT FOUND,"['tame', 'tale', 'male']"
tangerine,NOT FOUND,"['tangerines', 'tangent', 'tanager']"
tapas,NOT FOUND,"['taps', 'traps', 'tapes']"
taquito,NOT FOUND,"['quito', 'acquit', 'tito']"
taro,NOT FOUND,"['tar', 'tao', 'tsar']"
tart,FOUND,tart
tatertot,NOT FOUND,"['atherton', 'tattoo', 'uttermost']"
tatertots,NOT FOUND,"['tatters', 'staterooms', 'tarts']"
tea,FOUND,tea
tempeh,NOT FOUND,"['temple', 'temper', 'tempter']"
tempura,NOT FOUND,"['temporal', 'temper', 'temporary']"
tenderloin,NOT FOUND,"['tenderly', 'tender', 'rendering']"
teriyakichicken,NOT FOUND,"['thicken', 'chicken', 'teaching']"
teriyakisauce,NOT FOUND,"['transacted', 'terrace']"
tetrazzini,NOT FOUND,"['training', 'train', 'restraining']"
tikkamasala,NOT FOUND,[]
tilapia,NOT FOUND,"['titania', 'tarpeia', 'tapioca']"
tiramisu,NOT FOUND,"['trams', 'tramps', 'traits']"
toast,FOUND,toast
tofu,NOT FOUND,"['tour', 'toff', 'thou']"
tomato,FOUND,tomato
tomatobasilsoup,NOT FOUND,"['automobiles', 'tomatoes']"
tomatosoup,NOT FOUND,"['tomatoes', 'tomato', 'toadstool']"
tongue,FOUND,tongue
tonkatsu,NOT FOUND,"['toasts', 'thoats', 'tons']"
tootsieroll,NOT FOUND,"['hoosier', 'outsider', 'troll']"
toquito,NOT FOUND,"['quito', 'mosquito', 'mosquitos']"
torta,NOT FOUND,"['tortuga', 'total', 'porta']"
torte,NOT FOUND,"['tote', 'tore', 'torture']"
tortellini,NOT FOUND,"['tellin', 'thorstein', 'trellis']"
tortilla,NOT FOUND,"['gorilla', 'trill', 'travilla']"
tortillachips,NOT FOUND,"['portcullis', 'trellis', 'torches']"
tostada,NOT FOUND,"['toad', 'toasted', 'total']"
tostitos,NOT FOUND,"['toasts', ""tito's"", 'stilts']"
trailmix,NOT FOUND,"['trail', 'trailing', 'trails']"
trout,FOUND,trout
troutalmondine,NOT FOUND,"['tourmaline', 'routine', 'outline']"
truffles,NOT FOUND,"['ruffles', 'ruffle', 'trifles']"
tuna,NOT FOUND,"['una', 'tun', 'tundra']"
tunapoke,NOT FOUND,"['unspoken', 'turnpike', 'unmake']"
tunasalad,NOT FOUND,"['salad', 'nasal', 'unsealed']"
tunasandwich,NOT FOUND,"['sandwich', 'sandwiches', 'thousandth']"
turkey,FOUND,turkey
turnip,FOUND,turnip
tvdinner,NOT FOUND,"['dinner', 'thinner', 'dinners']"
tvp,NOT FOUND,"['top', 'tip', 'tap']"
twinkies,NOT FOUND,"['twinkle', 'twinges', 'tiniest']"
twix,NOT FOUND,"['twixt', 'twit', 'twin']"
twixbar,NOT FOUND,"['twixt', 'twirl', 'tiber']"
twizzler,NOT FOUND,"['whizzer', 'wilder', 'tiller']"
twizzlers,NOT FOUND,"['whizzer', 'toilers', 'tillers']"
tzatziki,NOT FOUND,"['zawoiski', 'takin']"
udon,NOT FOUND,"['udo', 'don', 'undone']"
union,FOUND,union
veal,FOUND,veal
vegetable,FOUND,vegetable
vegetabledelight,NOT FOUND,"['vegetable', 'vegetables', 'delight']"
vegetables,FOUND,vegetables
veggieburger,NOT FOUND,"['limburger', 'burger', 'burgher']"
venison,FOUND,venison
vidaliaonion,NOT FOUND,"['variation', 'valuation', 'civilization']"
vinegar,FOUND,vinegar
waffle,NOT FOUND,"['raffle', 'baffle', 'raffles']"
waffles,NOT FOUND,"['raffles', 'wales', 'whales']"
walnut,FOUND,walnut
walnuts,FOUND,walnuts
water,FOUND,water
waterchestnut,NOT FOUND,"['chestnut', 'chestnuts', 'watches']"
watermelon,FOUND,watermelon
waxbean,NOT FOUND,"['waxen', 'wean', 'bean']"
wheat,FOUND,wheat
wheatbread,NOT FOUND,"['sweetbreads', 'heated', 'hatred']"
wheatthin,NOT FOUND,"['sheathing', 'wetting', 'watchin']"
wheatthins,NOT FOUND,"['heathens', 'heaths', 'sheathing']"
wheatgrass,NOT FOUND,"['harass', 'whereas', 'wheat']"
whipcream,NOT FOUND,"['hiram', 'cream', 'whispered']"
whippedcream,NOT FOUND,"['whipped', 'whispered', 'whimpered']"
whiteonion,NOT FOUND,"['whiten', 'whitefoot', 'intention']"
wholewheatbread,NOT FOUND,"['wholeheartedly', 'sweetbreads', 'downhearted']"
